variable,dta_variable_label,question_text,codebook_page,question_text_filled
intnews,how often r accesses non-routine political news sources,,,how often r accesses non-routine political news sources
intoppo,trend of online contact with politically different,,,trend of online contact with politically different
intpolview,trend of online contact with politically similar,,,trend of online contact with politically similar
intprfssnl,frequency r has work/school internet access,,,frequency r has work/school internet access
intpub,frequency r has internet access in public,,,frequency r has internet access in public
intrnetuse,frequency of internet use over past 12 months,,,frequency of internet use over past 12 months
intrust,how much r trusts people they've only met online,,,how much r trusts people they've only met online
intscam,has r or someone they know been a victim of online scam,,,has r or someone they know been a victim of online scam
intsearch,how often r uses internet for search,,,how often r uses internet for search
intshare,how often r uses internet for sharing photos/videos,,,how often r uses internet for sharing photos/videos
intskill,r's skill at using the internet,,,r's skill at using the internet
intstream,how often r uses internet for music/video,,,how often r uses internet for music/video
intsurf,r's skill at online searches,,,r's skill at online searches
inttrig,how often r reads political opinions they disagree with online,,,how often r reads political opinions they disagree with online
intviews,how often r talks about politics online,,,how often r talks about politics online
issp,filter for issp cases,,,filter for issp cases
jobfind,could r find equally good job,,,could r find equally good job
joblose,is r likely to lose job,,,is r likely to lose job
kidssol,r's kids living standard compared to r,,,r's kids living standard compared to r
kidssolnv,r's kids living standard compared to r (no volunteered response on web),,,r's kids living standard compared to r (no volunteered response on web)
kidssolv,r's kids living standard compared to r (with volunteered response on web),,,r's kids living standard compared to r (with volunteered response on web)
kish,kish,,,kish
knwmhosp,know anyone who was in a hospital,,,know anyone who was in a hospital
knwpatnt,known anyone seeing a psychologist etc?,,,known anyone seeing a psychologist etc?
leftrght,how left or right in politics,,,how left or right in politics
leftrght1,how left or right in politics,,,how left or right in politics
letdie1,allow incurable patients to die,,,allow incurable patients to die
letdie1y,allow incurable patients to die (form 2),,,allow incurable patients to die (form 2)
letin1,number of immigrants to america nowadays should be,,,number of immigrants to america nowadays should be
letin1a,number of immigrants nowadays should be,,,number of immigrants nowadays should be
letinasn,immigration from asia should be increased,,,immigration from asia should be increased
letinhsp,immigration from latin america should be increased,,,immigration from latin america should be increased
libath,allow anti-religious book in library,,,allow anti-religious book in library
libathy,allow anti-religionist to teach y,,,allow anti-religionist to teach y
libcom,allow communists book in library,,,allow communists book in library
libcomy,allow communists book in library y,,,allow communists book in library y
libmslm,allow anti-american muslim clergymen's books in library,,,allow anti-american muslim clergymen's books in library
libmslmy,allow anti-american muslim clergymen's books in library y,,,allow anti-american muslim clergymen's books in library y
librac,allow racists book in library,,,allow racists book in library
libracy,allow racists book in library y,,,allow racists book in library y
life,is life exciting or dull,,,is life exciting or dull
liveblks,neighborhood half black,,,neighborhood half black
lkelyvot,likelihood to vote in 2024 election,,,likelihood to vote in 2024 election
localnum,number of employees: r's work site,,,number of employees: r's work site
maborn,was r's mother (or youngest same-sex parent) born in this country?,,,was r's mother (or youngest same-sex parent) born in this country?
madeg,mother's (or youngest same-sex parent's) highest degree,,,mother's (or youngest same-sex parent's) highest degree
maeduc,"highest year school completed, mother (or youngest same-sex parent)",,,"highest year school completed, mother (or youngest same-sex parent)"
maind10,mother's (or youngest same-sex parent's) industry code (naics 2007),,,mother's (or youngest same-sex parent's) industry code (naics 2007)
major1,college major 1,,,college major 1
major2,college major 2,,,college major 2
maocc10,mother's (or youngest same-sex parent's) occupatoin code (2010),,,mother's (or youngest same-sex parent's) occupatoin code (2010)
